MaTin,ThanhPho,QuanHuyen,PhuongXa,DuAn,LoaiHinh,TinhTrang,DienTich_m2,SoPhongNgu,SoWC,HuongBanCong,Tang,NamBanGiao,PhapLy,NoiThat,GiaTyVND,GiaTrieu_m2,PhiQuanLyNghin_m2,ChoDoXe,GanMetro,HoBoi,PhongGym,NoiBat,NgayDangTin,GhiChuNguon
HN0001,Hà Nội,Hoàng Mai,Đại Kim,The Zen Residence,Chung cư,Chuyển nhượng,91.0,3,2,Đông,9,2022,Sổ hồng lâu dài,Full nội thất,5.3,58.2,12.2,Xe máy,Không,Không,Có,Đầy đủ tiện ích,2026-02-12,Dữ liệu tổng hợp mô phỏng
HN0002,Hà Nội,Long Biên,Gia Thụy,EcoLife Grand,Chung cư,Đang bán,95.3,3,2,Đông Bắc,16,2024,Đang chờ sổ,Cơ bản,4.42,46.4,22.5,Xe máy,Không,Không,Có,Gần tuyến metro,2026-01-24,Dữ liệu tổng hợp mô phỏng
HN0003,Hà Nội,Hoàng Mai,Đại Kim,Sunshine Palace,Chung cư,Đang bán,42.6,1,1,Bắc,21,2013,Sổ hồng lâu dài,Nội thất cao cấp,2.58,60.7,10.9,Ô tô + xe máy,Không,Không,Có,View sông thoáng,2025-11-05,Dữ liệu tổng hợp mô phỏng
HN0004,Hà Nội,Cầu Giấy,Mai Dịch,Central Field,Chung cư,Cho thuê mua,82.8,2,2,Tây Bắc,38,2015,Sổ hồng lâu dài,Full nội thất,7.14,86.3,13.7,Ô tô + xe máy,Có,Không,Không,Ban công rộng,2026-02-14,Dữ liệu tổng hợp mô phỏng
HN0005,Hà Nội,Cầu Giấy,Dịch Vọng Hậu,Central Field,Chung cư,Đang bán,71.8,2,2,Tây Bắc,19,2023,Sổ hồng lâu dài,Nội thất cao cấp,6.52,90.7,17.2,Ô tô + xe máy,Có,Có,Có,Đầy đủ tiện ích,2025-11-08,Dữ liệu tổng hợp mô phỏng
HN0006,Hà Nội,Thanh Xuân,Thanh Xuân Trung,GoldSeason,Chung cư,Đang bán,80.5,3,2,Nam,37,2024,Sổ hồng lâu dài,Nội thất cao cấp,5.16,64.0,23.8,Ô tô + xe máy,Không,Có,Không,Căn góc,2025-10-28,Dữ liệu tổng hợp mô phỏng
HN0007,Hà Nội,Nam Từ Liêm,Mỹ Đình 2,Golden Park Riverside,Chung cư,Cần bán gấp,78.4,2,2,Nam,36,2026,Đang chờ sổ,Nội thất cao cấp,4.97,63.5,13.5,Ô tô + xe máy,Không,Không,Có,Gần công viên,2026-03-23,Dữ liệu tổng hợp mô phỏng
HN0008,Hà Nội,Hai Bà Trưng,Vĩnh Tuy,Vinhomes Grand,Chung cư,Chuyển nhượng,81.2,2,2,Bắc,30,2015,HĐMB,Cơ bản,7.53,92.8,20.1,Ô tô + xe máy,Không,Có,Có,View sông thoáng,2026-01-13,Dữ liệu tổng hợp mô phỏng
HN0009,Hà Nội,Hoàng Mai,Đại Kim,Gamuda Gardens,Chung cư,Đang bán,50.6,1,1,Tây Nam,17,2013,Sổ hồng lâu dài,Cơ bản,3.08,60.9,11.9,Ô tô + xe máy,Không,Có,Có,Gần công viên,2025-12-26,Dữ liệu tổng hợp mô phỏng
HN0010,Hà Nội,Nam Từ Liêm,Phú Đô,Golden Park Garden,Chung cư,Đang bán,76.9,2,2,Đông,9,2012,Đang chờ sổ,Full nội thất,5.23,68.1,11.4,Ô tô + xe máy,Không,Có,Có,View sông thoáng,2025-12-17,Dữ liệu tổng hợp mô phỏng
HN0011,Hà Nội,Hoàng Mai,Lĩnh Nam,Golden Park Vista,Chung cư,Đang bán,123.6,3,2,Tây Bắc,13,2018,Sổ hồng lâu dài,Full nội thất,6.34,51.3,14.8,Không rõ,Có,Không,Có,Đầy đủ tiện ích,2025-10-13,Dữ liệu tổng hợp mô phỏng
HN0012,Hà Nội,Cầu Giấy,Yên Hòa,Sky Park Residence,Chung cư,Chuyển nhượng,56.8,2,2,Bắc,37,2012,Sổ hồng lâu dài,Nội thất cao cấp,3.89,68.6,10.8,Không rõ,Có,Có,Có,Gần trung tâm thương mại,2025-12-27,Dữ liệu tổng hợp mô phỏng
HN0013,Hà Nội,Hoàng Mai,Đại Kim,Sunshine Palace,Chung cư,Đang bán,67.6,2,2,Tây,40,2021,HĐMB,Full nội thất,4.1,60.7,15.1,Xe máy,Có,Có,Có,View sông thoáng,2026-04-07,Dữ liệu tổng hợp mô phỏng
HN0014,Hà Nội,Ba Đình,Ngọc Khánh,Vinhomes Metropolis,Chung cư,Chuyển nhượng,59.0,2,2,Nam,25,2026,Sổ hồng lâu dài,Nội thất cao cấp,6.24,105.9,22.5,Ô tô + xe máy,Không,Có,Không,View sông thoáng,2026-03-06,Dữ liệu tổng hợp mô phỏng
HN0015,Hà Nội,Nam Từ Liêm,Trung Văn,HD Mon City,Chung cư,Cần bán gấp,65.3,2,2,Tây Nam,19,2020,Đang chờ sổ,Full nội thất,4.56,69.8,15.6,Ô tô + xe máy,Có,Không,Có,Căn góc,2026-02-27,Dữ liệu tổng hợp mô phỏng
HN0016,Hà Nội,Hoàng Mai,Đại Kim,Sunshine Palace,Chung cư,Chuyển nhượng,55.7,1,1,Tây Nam,12,2020,Sổ hồng lâu dài,Full nội thất,2.71,48.7,14.6,Không rõ,Không,Có,Có,Gần trung tâm thương mại,2025-10-21,Dữ liệu tổng hợp mô phỏng
HN0017,Hà Nội,Hà Đông,Văn Quán,Sunshine Plaza,Chung cư,Cần bán gấp,90.7,3,2,Tây Bắc,14,2026,HĐMB,Cơ bản,4.09,45.1,20.1,Xe máy,Có,Có,Có,Đầy đủ tiện ích,2026-03-31,Dữ liệu tổng hợp mô phỏng
HN0018,Hà Nội,Nam Từ Liêm,Mỹ Đình 2,Mỹ Đình Pearl,Chung cư,Cho thuê mua,74.8,2,2,Đông,28,2017,Sổ hồng lâu dài,Cơ bản,4.72,63.1,20.2,Ô tô riêng,Có,Có,Không,Căn góc,2026-02-23,Dữ liệu tổng hợp mô phỏng
HN0019,Hà Nội,Ba Đình,Giảng Võ,Lancaster Núi Trúc,Chung cư,Đang bán,78.6,2,2,Đông Bắc,30,2021,Sổ hồng lâu dài,Cơ bản,10.89,138.6,17.4,Ô tô riêng,Không,Không,Có,Gần trung tâm thương mại,2026-01-06,Dữ liệu tổng hợp mô phỏng
HN0020,Hà Nội,Hai Bà Trưng,Bạch Mai,Anland Plaza,Chung cư,Đang bán,93.5,3,3,Tây Nam,29,2017,Sổ hồng lâu dài,Nội thất cao cấp,7.34,78.4,20.2,Không rõ,Không,Có,Có,View nội khu yên tĩnh,2026-01-22,Dữ liệu tổng hợp mô phỏng
HN0021,Hà Nội,Long Biên,Thạch Bàn,Anland Plaza,Chung cư,Cần bán gấp,100.9,3,3,Bắc,16,2020,HĐMB,Full nội thất,4.95,49.1,9.5,Ô tô + xe máy,Không,Có,Không,Gần trung tâm thương mại,2025-10-19,Dữ liệu tổng hợp mô phỏng
HN0022,Hà Nội,Cầu Giấy,Dịch Vọng,Sky Park Residence,Chung cư,Chuyển nhượng,69.3,2,2,Tây Bắc,7,2019,Sổ hồng lâu dài,Cơ bản,5.01,72.3,16.9,Ô tô + xe máy,Không,Có,Có,View sông thoáng,2025-12-22,Dữ liệu tổng hợp mô phỏng
HN0023,Hà Nội,Ba Đình,Ngọc Khánh,Lancaster Núi Trúc,Chung cư,Đang bán,85.5,3,2,Tây Bắc,32,2022,Đang chờ sổ,Nội thất cao cấp,11.48,134.3,15.7,Không rõ,Không,Có,Không,Gần công viên,2026-02-02,Dữ liệu tổng hợp mô phỏng
HN0024,Hà Nội,Hoàng Mai,Tân Mai,New Horizon City,Chung cư,Cần bán gấp,76.4,2,2,Tây Nam,18,2016,Sổ hồng lâu dài,Full nội thất,3.75,49.0,14.9,Ô tô + xe máy,Có,Có,Có,Gần công viên,2025-12-24,Dữ liệu tổng hợp mô phỏng
HN0025,Hà Nội,Hà Đông,Kiến Hưng,Seasons Avenue,Chung cư,Cần bán gấp,122.0,4,3,Nam,33,2012,Đang chờ sổ,Cơ bản,6.42,52.7,21.2,Ô tô riêng,Không,Có,Có,Gần công viên,2026-04-02,Dữ liệu tổng hợp mô phỏng
HN0026,Hà Nội,Tây Hồ,Xuân La,D'. Residence,Chung cư,Đang bán,173.4,4,3,Đông,40,2021,Sổ hồng lâu dài,Cơ bản,20.39,117.6,16.2,Ô tô + xe máy,Không,Có,Không,Đầy đủ tiện ích,2026-02-04,Dữ liệu tổng hợp mô phỏng
HN0027,Hà Nội,Hà Đông,Dương Nội,Anland Lake View,Chung cư,Cần bán gấp,57.1,2,2,Nam,5,2024,HĐMB,Full nội thất,2.51,44.0,16.5,Ô tô + xe máy,Không,Có,Có,Ban công rộng,2026-02-26,Dữ liệu tổng hợp mô phỏng
HN0028,Hà Nội,Hà Đông,Mộ Lao,Seasons Avenue,Chung cư,Đang bán,82.9,2,2,Đông Bắc,39,2022,Sổ hồng lâu dài,Nội thất cao cấp,5.11,61.7,12.4,Xe máy,Có,Có,Không,Tầng trung đẹp,2026-03-30,Dữ liệu tổng hợp mô phỏng
HN0029,Hà Nội,Ba Đình,Kim Mã,The Nelson,Chung cư,Đang bán,46.4,1,1,Tây,34,2013,Sổ hồng lâu dài,Cơ bản,5.42,116.8,19.7,Xe máy,Không,Không,Có,Tầng trung đẹp,2026-01-31,Dữ liệu tổng hợp mô phỏng
HN0030,Hà Nội,Nam Từ Liêm,Phú Đô,Vinhomes Gardenia,Chung cư,Đang bán,68.9,2,2,Tây Bắc,42,2022,Sổ hồng lâu dài,Nhà thô,5.76,83.5,14.1,Ô tô riêng,Không,Có,Có,Gần trung tâm thương mại,2026-03-19,Dữ liệu tổng hợp mô phỏng
HN0031,Hà Nội,Hoàng Mai,Hoàng Liệt,Gelexia Riverside,Chung cư,Đang bán,109.1,3,3,Tây,31,2024,HĐMB,Cơ bản,5.75,52.7,18.0,Ô tô + xe máy,Không,Có,Có,Gần công viên,2026-01-30,Dữ liệu tổng hợp mô phỏng
HN0032,Hà Nội,Hai Bà Trưng,Minh Khai,The Matrix City,Chung cư,Chuyển nhượng,48.7,1,1,Đông,14,2015,Sổ hồng 50 năm,Cơ bản,3.9,80.1,13.1,Ô tô + xe máy,Có,Có,Có,View nội khu yên tĩnh,2025-11-24,Dữ liệu tổng hợp mô phỏng
HN0033,Hà Nội,Hà Đông,Kiến Hưng,Anland Lake View,Chung cư,Chuyển nhượng,83.3,2,2,Nam,34,2013,Sổ hồng lâu dài,Full nội thất,4.23,50.7,8.9,Không rõ,Không,Không,Có,View sông thoáng,2025-11-13,Dữ liệu tổng hợp mô phỏng
